,BTS,GROUPE,X,Y,commune_id
7866,09X083,ALGER_AUX,2.91285,36.5672,3106.0
7871,35X088,AUXILIARY BL,3.69674,36.6382,3361.0
7873,06X028,SETIF_AUX,4.69805,36.5269,2714.0
7876,16X513,AUXILIARY BL,3.0962,36.668,2834.0
7886,12X012,CONSTANTINE_AUX,8.32661,35.4992,3661.0
7888,04X095,CONSTANTINE_AUX,6.56967,36.0393,2677.0
7889,46X064,TLEMCEN_AUX,-0.80892,35.3746,3662.0
7891,28X124,SETIF_AUX,4.87759,35.6705,3243.0
7892,19X159,SETIF_AUX,5.68124,36.15,2986.0
7899,12X016,CONSTANTINE_AUX,7.4699,35.1867,3641.0
7900,43X061,CONSTANTINE_AUX,6.26703,36.4564,2991.0
7907,14X041,ORAN_AUX,2.32361,35.2108,2876.0
7908,33X006,SUD_AUX,9.5773,28.0497,3663.0
7909,05X171,SETIF_AUX,6.16181,35.5482,2784.0
7913,16X890,ALGER_AUX,2.98013,36.7803,3166.0
7915,02X195,ORAN_AUX,1.22768,36.0943,2871.0
7923,16X414,ALGER_AUX,2.90476,36.8008,2956.0
7924,02X160,ORAN_AUX,1.22783,36.3591,3258.0
7928,18X053,CONSTANTINE_AUX,5.89316,36.7695,2923.0
7932,16X1388,ALGER_AUX,3.22519,36.71284,2904.0
7938,25X164,AUXILIARY BL,6.58673,36.3466,2764.0
7940,23X111,CONSTANTINE_AUX,7.73288,36.905,2731.0
7941,35X129,CENTRE_AUX,3.60602,36.768,3386.0
7943,16X074,AUXILIARY BL,2.97968,36.7587,2716.0
7944,06X121,SETIF_AUX,5.05502,36.7353,2719.0
7946,19X191,SETIF_AUX,5.55261,36.015,3328.0
7947,06X207,SETIF_AUX,4.68706,36.5449,2714.0
7953,06X154,SETIF_AUX,4.85162,36.6757,2964.0
7954,16X056,ALGER_AUX,2.98991,36.8132,3044.0
7959,15X083,CENTRE_AUX,4.00516,36.5462,3664.0
7961,34X065,SETIF_AUX,4.7632,36.0757,2752.0
7964,03X100,SUD_AUX,2.85471,33.7851,2853.0
7966,04X053,CONSTANTINE_AUX,7.09918,35.8793,2711.0
7969,10X146,CENTRE_AUX,3.4681,36.4523,3508.0
7971,15X172,CENTRE_AUX,3.85123,36.5116,2982.0
7974,16X573,AUXILIARY BL,2.98469,36.7604,2716.0
7978,25X209,CONSTANTINE_AUX,6.60144,36.3521,2764.0
7980,17X108,SUD_AUX,3.48891,34.159,2980.0
7988,07X119,SETIF_AUX,6.03532,35.0133,3595.0
7993,29X247,ORAN_AUX,0.15375,35.40006,2724.0
7998,20X056,TLEMCEN_AUX,0.13704,34.8522,2841.0
8004,21X100,CONSTANTINE_AUX,6.91144,36.8602,2754.0
8005,21X080,CONSTANTINE_AUX,7.10692,36.7452,3031.0
8006,17X061,SUD_AUX,3.25611,34.6708,2703.0
8014,09X139,CENTRE_AUX,3.0772,36.5394,3082.0
8017,46X033,TLEMCEN_AUX,-1.17806,35.4196,3665.0
8018,48X080,ORAN_AUX,1.28501,35.8671,3666.0
8020,16X141,AUXILIARY BL,2.92685,36.7634,2938.0
8024,16X979,AUXILIARY BL,3.03146,36.67853,2817.0
8028,03X009,AUXILIARY BL,2.09804,34.1141,3206.0
8034,25X106,AUXILIARY BL,6.48444,36.2617,2708.0
8037,24X035,CONSTANTINE_AUX,7.51747,36.3059,3667.0
8039,18X093,CONSTANTINE_AUX,6.26993,36.748,2695.0
8046,40X067,CONSTANTINE_AUX,7.1516,35.4224,2729.0
8048,21X004,AUXILIARY BL,6.83931,36.65347,3111.0
8051,04X103,CONSTANTINE_AUX,6.57154,36.0202,2677.0
8052,16X1084,ALGER_AUX,3.20838,36.7155,2904.0
8054,39X099,SUD_AUX,6.71411,33.5577,2958.0
8062,28X077,SETIF_AUX,3.88755,35.6732,2735.0
8065,46X084,TLEMCEN_AUX,-0.88361,35.4036,3340.0
